기준년도,구,업종,3월(억원),4월(억원),5월(억원),6월(억원),7월(억원)
2019년,서구,주방용품,0.1,0.1,0.2,0.1,0.2
2019년,서구,주유,40.1,40.8,44.5,42.7,42.9
2019년,서구,직물/침구류,1,0.6,1.6,1.4,1
2019년,서구,학습자재,3.9,2.6,2.8,2.4,2.7
2019년,서구,학원,94.9,75.3,85.7,83.2,100
2019년,서구,회비,0.1,0.1,0.1,0.3,
2019년,서구,휴게음식점,153.4,152,161.3,155.9,162.8
2019년,유성구,가구,7.4,9.5,10.7,8.1,6.2
2019년,유성구,건축관련업,3.6,2.8,3.8,2.8,2.5
2019년,유성구,기타유통,1.4,1.8,2,1.2,1.2
2019년,유성구,기타제조/도매,1.6,1.6,1.4,1.5,1.4
2019년,유성구,레저/스포츠,34.7,35.6,38.8,32.1,31
2019년,유성구,문화/취미,22.6,23.9,24.7,18.1,17.1
2019년,유성구,미용,61.4,56.3,60.6,60.3,58.6
2019년,유성구,비영리유통,13.7,13.7,16,0.7,0.5
2019년,유성구,소매,219.5,213.6,223.5,219.4,211.7
2019년,유성구,수리서비스,,7.4,0,,0
2019년,유성구,숙박,17,16.6,17,18.2,17.7
2019년,유성구,신변잡화,14,14.4,14.8,13.5,12.8
2019년,유성구,연료판매,,0.1,,,
2019년,유성구,용역서비스,7.1,8.3,7.5,7.8,6.1
2019년,유성구,유아교육기관,24,23.1,23.1,24.8,25.1
2019년,유성구,유흥,26.8,24.8,28.5,23.7,25.5
2019년,유성구,음식료품,86,95.2,99.2,89.1,87.3
2019년,유성구,의료기관/제약,152.5,165.2,179.3,161.1,173.8
2019년,유성구,의류,20.9,22.4,25.8,20.1,19.1
2019년,유성구,일반음식점,764.9,735.5,780.4,734.5,752.6
2019년,유성구,자동차정비/유지,35.5,34.4,42.3,35.3,39.9
2019년,유성구,전자상거래,9.4,8.5,7.2,6.3,7
2019년,유성구,전자제품,10.1,15.7,29.8,25.8,21.3
2019년,유성구,주방용품,0.4,0.6,0.2,0.2,0.2
2019년,유성구,주유,13.4,14.2,33.3,33.5,31.8
2019년,유성구,직물/침구류,0.4,0.5,0.7,0.9,0.5
2019년,유성구,학습자재,4.9,3,2.9,2.8,2.4
